Product,Variant / Dose,SKU,Program SKU if applicable,Fulfillment SKU if applicable,MBM Parent Product ID,MBM Variant ID,Category,Dosage Form,Strength / Concentration,Size / Quantity,Production URL,Active,Notes
Semaglutide + B6 Injection,"0.5mg, Vial",MBM-WM-SEM-INJ-001,,,p1,semaglutide-v1,weight-management,Injection,0.5mg,Vial,https://mybaremethod.com/product/semaglutide,true,
Semaglutide + B6 Injection,"1mg, Vial",MBM-WM-SEM-INJ-002,,,p1,semaglutide-v2,weight-management,Injection,1mg,Vial,https://mybaremethod.com/product/semaglutide,true,
Semaglutide + B6 Injection,"2.5mg, Vial",MBM-WM-SEM-INJ-003,,,p1,semaglutide-v3,weight-management,Injection,2.5mg,Vial,https://mybaremethod.com/product/semaglutide,true,
Semaglutide + B6 Injection,"5mg, Vial",MBM-WM-SEM-INJ-004,,,p1,semaglutide-v4,weight-management,Injection,5mg,Vial,https://mybaremethod.com/product/semaglutide,true,
Tirzepatide + B6 Injection,"2.5mg, Vial",MBM-WM-TIR-INJ-001,,,p5,tirzepatide-v1,weight-management,Injection,2.5mg,Vial,https://mybaremethod.com/product/tirzepatide,true,
Tirzepatide + B6 Injection,"7.5mg, Vial",MBM-WM-TIR-INJ-002,,,p5,tirzepatide-v2,weight-management,Injection,7.5mg,Vial,https://mybaremethod.com/product/tirzepatide,true,
Tirzepatide + B6 Injection,"12.5mg, Vial",MBM-WM-TIR-INJ-003,,,p5,tirzepatide-v3,weight-management,Injection,12.5mg,Vial,https://mybaremethod.com/product/tirzepatide,true,
Tirzepatide + B6 Injection,"15mg, Vial",MBM-WM-TIR-INJ-004,,,p5,tirzepatide-v4,weight-management,Injection,15mg,Vial,https://mybaremethod.com/product/tirzepatide,true,
Estradiol Patch,"0.025mg twice weekly, 8 patches",MBM-HRT-EST-PAT-001,,,p16,estradiol-patch-v1,womens-hormone-therapy,Patch,0.025mg twice weekly,8 patches,https://mybaremethod.com/product/estradiol-patch,true,
Estradiol Patch,"0.05mg twice weekly, 8 patches",MBM-HRT-EST-PAT-002,,,p16,estradiol-patch-v2,womens-hormone-therapy,Patch,0.05mg twice weekly,8 patches,https://mybaremethod.com/product/estradiol-patch,true,
Estradiol Patch,"0.1mg twice weekly, 8 patches",MBM-HRT-EST-PAT-003,,,p16,estradiol-patch-v3,womens-hormone-therapy,Patch,0.1mg twice weekly,8 patches,https://mybaremethod.com/product/estradiol-patch,true,
Progesterone Capsules,"100mg, 30 capsules",MBM-HRT-PRG-CAP-001,,,p23,progesterone-capsules-v1,womens-hormone-therapy,Capsule,100mg,30 capsules,https://mybaremethod.com/product/progesterone-capsules,true,
Progesterone Capsules,"200mg, 30 capsules",MBM-HRT-PRG-CAP-002,,,p23,progesterone-capsules-v2,womens-hormone-therapy,Capsule,200mg,30 capsules,https://mybaremethod.com/product/progesterone-capsules,true,
Testosterone Cream,"5mg/g, 30g",MBM-HRT-TST-CRM-001,,,p27,testosterone-cream-v1,womens-hormone-therapy,Cream,5mg/g,30g,https://mybaremethod.com/product/testosterone-cream,true,
NAD+ Injection,"100mg/mL · 500mg total, 5mL",MBM-LON-NAD-INJ-001,,,p9,nad-plus-v1,longevity-cognitive,Injection,100mg/mL · 500mg total,5mL,https://mybaremethod.com/product/nad-plus,true,
NAD+ Injection,"100mg/mL · 1,000mg total, 10mL",MBM-LON-NAD-INJ-002,,,p9,nad-plus-v2,longevity-cognitive,Injection,"100mg/mL · 1,000mg total",10mL,https://mybaremethod.com/product/nad-plus,true,
Selank Injection,"5mg/mL, 2mL",MBM-LON-SEL-INJ-001,,,p48,selank-v1,longevity-cognitive,Injection,5mg/mL,2mL,https://mybaremethod.com/product/selank,true,
Semax Injection,"5mg/mL, 2mL",MBM-LON-SMX-INJ-001,,,p47,semax-v1,longevity-cognitive,Injection,5mg/mL,2mL,https://mybaremethod.com/product/semax,true,
Selank + Semax Blend Nasal Spray,"50mcg/50mcg per spray, 10mL",MBM-LON-SSN-NS-001,,,p68,selank-semax-nasal-spray-v1,longevity-cognitive,Nasal Spray,50mcg/50mcg per spray,10mL,https://mybaremethod.com/product/selank-semax-nasal-spray,true,
Wolverine: BPC-157/TB-500,"Capsule, Blend, Capsule",MBM-RP-BPC-CAP-001,,,p41,bpc-157-tb-500-v1,recovery-performance,Capsule,Blend,Capsule,https://mybaremethod.com/product/bpc-157-tb-500,true,"Catalog strength is ""Blend"" — concentration not invented."
Wolverine: BPC-157/TB-500,"Injection, Blend, Injection",MBM-RP-BPC-INJ-001,,,p41,bpc-157-tb-500-v2,recovery-performance,Injection,Blend,Injection,https://mybaremethod.com/product/bpc-157-tb-500,true,"Catalog strength is ""Blend"" — concentration not invented."
Tretinoin Cream,"0.025%, 20g",MBM-SH-TRE-CRM-001,,,p69,tretinoin-cream-v1,prescription-skin-hair,Cream,0.025%,20g,https://mybaremethod.com/product/tretinoin-cream,true,Storefront-active; excluded from Stripe sync until reviewed.
Tretinoin Cream,"0.05%, 20g",MBM-SH-TRE-CRM-002,,,p69,tretinoin-cream-v2,prescription-skin-hair,Cream,0.05%,20g,https://mybaremethod.com/product/tretinoin-cream,true,Storefront-active; excluded from Stripe sync until reviewed.
Tretinoin Cream,"0.1%, 20g",MBM-SH-TRE-CRM-003,,,p69,tretinoin-cream-v3,prescription-skin-hair,Cream,0.1%,20g,https://mybaremethod.com/product/tretinoin-cream,true,Storefront-active; excluded from Stripe sync until reviewed.
Minoxidil Combination Topical Formula,"Combination formula, Bottle",MBM-SH-MIN-SOL-001,,,p70,minoxidil-topical-v1,prescription-skin-hair,Topical Solution,Combination formula,Bottle,https://mybaremethod.com/product/minoxidil-topical,true,"Catalog strength is ""Combination formula"" — concentration not invented."
Bimatoprost Solution,"0.03%, 2.5mL",MBM-SH-BIM-SOL-001,,,p71,bimatoprost-solution-v1,prescription-skin-hair,Solution,0.03%,2.5mL,https://mybaremethod.com/product/bimatoprost-solution,true,Storefront-active; excluded from Stripe sync until reviewed.
Initial Provider Visit,"1 session, Visit",MBM-PC-IPV-SRV-001,,,pc1,initial-provider-consultation-v1,provider-care,Service,1 session,Visit,https://mybaremethod.com/product/initial-provider-consultation,true,Storefront-only variant (not in catalog_variants DB); SKU lives in TypeScript catalog.
Follow-Up Visit,"1 session, Visit",MBM-PC-FUV-SRV-001,,,pc2,follow-up-appointment-v1,provider-care,Service,1 session,Visit,https://mybaremethod.com/product/follow-up-appointment,true,Storefront-only variant (not in catalog_variants DB); SKU lives in TypeScript catalog.
Laboratory Review,"1 session, Visit",MBM-PC-LAB-SRV-001,,,pc3,laboratory-review-v1,provider-care,Service,1 session,Visit,https://mybaremethod.com/product/laboratory-review,true,Storefront-only variant (not in catalog_variants DB); SKU lives in TypeScript catalog.
Complete Injection Starter Kit,"Bundle, 1 kit",MBM-ACC-CIS-ACC-001,,,a1,complete-injection-starter-kit-v1,accessories,Accessory,Bundle,1 kit,https://mybaremethod.com/product/complete-injection-starter-kit,true,Storefront-only variant (not in catalog_variants DB); SKU lives in TypeScript catalog.
Premium 3D Printed Peptide Case,"Standard, 1 case",MBM-ACC-PPC-ACC-001,,,a2,premium-3d-printed-peptide-case-v1,accessories,Accessory,Standard,1 case,https://mybaremethod.com/product/premium-3d-printed-peptide-case,true,Storefront-only variant (not in catalog_variants DB); SKU lives in TypeScript catalog.
Temperature-Controlled Travel Case,"Standard, 1 case",MBM-ACC-TTC-ACC-001,,,a3,temperature-controlled-travel-case-v1,accessories,Accessory,Standard,1 case,https://mybaremethod.com/product/temperature-controlled-travel-case,true,Storefront-only variant (not in catalog_variants DB); SKU lives in TypeScript catalog.
Discreet Travel Bag,"Standard, 1 bag",MBM-ACC-DTB-ACC-001,,,a4,discreet-travel-bag-v1,accessories,Accessory,Standard,1 bag,https://mybaremethod.com/product/discreet-travel-bag,true,Storefront-only variant (not in catalog_variants DB); SKU lives in TypeScript catalog.
Reusable Ice Pack,"Standard, 1 pack",MBM-ACC-ICE-ACC-001,,,a5,reusable-ice-pack-v1,accessories,Accessory,Standard,1 pack,https://mybaremethod.com/product/reusable-ice-pack,true,Storefront-only variant (not in catalog_variants DB); SKU lives in TypeScript catalog.
Daily & Weekly Wellness Planner,"Standard, 1 planner",MBM-ACC-DWP-ACC-001,,,a6,daily-weekly-wellness-planner-v1,accessories,Accessory,Standard,1 planner,https://mybaremethod.com/product/daily-weekly-wellness-planner,true,Storefront-only variant (not in catalog_variants DB); SKU lives in TypeScript catalog.
Sharps Container,"Standard, 1 container",MBM-ACC-SHP-ACC-001,,,a7,sharps-container-v1,accessories,Accessory,Standard,1 container,https://mybaremethod.com/product/sharps-container,true,Storefront-only variant (not in catalog_variants DB); SKU lives in TypeScript catalog.
Alcohol Prep Wipes,"200 Count, 1 box",MBM-ACC-APW-ACC-001,,,a8,alcohol-prep-wipes-v1,accessories,Accessory,200 Count,1 box,https://mybaremethod.com/product/alcohol-prep-wipes,true,Storefront-only variant (not in catalog_variants DB); SKU lives in TypeScript catalog.
Alcohol Prep Wipes,"500 Count, 1 box",MBM-ACC-APW-ACC-002,,,a8,alcohol-prep-wipes-v2,accessories,Accessory,500 Count,1 box,https://mybaremethod.com/product/alcohol-prep-wipes,true,Storefront-only variant (not in catalog_variants DB); SKU lives in TypeScript catalog.
Premium Insulin Syringes,"10 Pack, 1 pack",MBM-ACC-PIS-ACC-001,,,a10,premium-insulin-syringes-v1,accessories,Accessory,10 Pack,1 pack,https://mybaremethod.com/product/premium-insulin-syringes,true,Storefront-only variant (not in catalog_variants DB); SKU lives in TypeScript catalog.
Premium Insulin Syringes,"20 Pack, 1 pack",MBM-ACC-PIS-ACC-002,,,a10,premium-insulin-syringes-v2,accessories,Accessory,20 Pack,1 pack,https://mybaremethod.com/product/premium-insulin-syringes,true,Storefront-only variant (not in catalog_variants DB); SKU lives in TypeScript catalog.
Premium Insulin Syringes,"30 Pack, 1 pack",MBM-ACC-PIS-ACC-003,,,a10,premium-insulin-syringes-v3,accessories,Accessory,30 Pack,1 pack,https://mybaremethod.com/product/premium-insulin-syringes,true,Storefront-only variant (not in catalog_variants DB); SKU lives in TypeScript catalog.
Premium Insulin Syringes,"40 Pack, 1 pack",MBM-ACC-PIS-ACC-004,,,a10,premium-insulin-syringes-v4,accessories,Accessory,40 Pack,1 pack,https://mybaremethod.com/product/premium-insulin-syringes,true,Storefront-only variant (not in catalog_variants DB); SKU lives in TypeScript catalog.
Premium Insulin Syringes,"50 Pack, 1 pack",MBM-ACC-PIS-ACC-005,,,a10,premium-insulin-syringes-v5,accessories,Accessory,50 Pack,1 pack,https://mybaremethod.com/product/premium-insulin-syringes,true,Storefront-only variant (not in catalog_variants DB); SKU lives in TypeScript catalog.
Premium Insulin Syringes,"60 Pack, 1 pack",MBM-ACC-PIS-ACC-006,,,a10,premium-insulin-syringes-v6,accessories,Accessory,60 Pack,1 pack,https://mybaremethod.com/product/premium-insulin-syringes,true,Storefront-only variant (not in catalog_variants DB); SKU lives in TypeScript catalog.
Premium Insulin Syringes,"70 Pack, 1 pack",MBM-ACC-PIS-ACC-007,,,a10,premium-insulin-syringes-v7,accessories,Accessory,70 Pack,1 pack,https://mybaremethod.com/product/premium-insulin-syringes,true,Storefront-only variant (not in catalog_variants DB); SKU lives in TypeScript catalog.
Premium Insulin Syringes,"80 Pack, 1 pack",MBM-ACC-PIS-ACC-008,,,a10,premium-insulin-syringes-v8,accessories,Accessory,80 Pack,1 pack,https://mybaremethod.com/product/premium-insulin-syringes,true,Storefront-only variant (not in catalog_variants DB); SKU lives in TypeScript catalog.
Premium Insulin Syringes,"90 Pack, 1 pack",MBM-ACC-PIS-ACC-009,,,a10,premium-insulin-syringes-v9,accessories,Accessory,90 Pack,1 pack,https://mybaremethod.com/product/premium-insulin-syringes,true,Storefront-only variant (not in catalog_variants DB); SKU lives in TypeScript catalog.
Premium Insulin Syringes,"100 Pack, 1 pack",MBM-ACC-PIS-ACC-010,,,a10,premium-insulin-syringes-v10,accessories,Accessory,100 Pack,1 pack,https://mybaremethod.com/product/premium-insulin-syringes,true,Storefront-only variant (not in catalog_variants DB); SKU lives in TypeScript catalog.
Semaglutide Membership,Membership program (billing),MBM-MEM-SEM-MEM-001,MBM-MEM-SEM-MEM-001,,m1,semaglutide-membership-program,memberships,Membership,n/a,monthly,https://mybaremethod.com/product/semaglutide-membership,true,PROGRAM SKU only. Fulfillment uses retail WM SKUs via dose crosswalk — no duplicate membership-medication SKUs.
