MBM Product,MBM Variant,MBM SKU,MBM Product ID,MBM Variant ID,Retail Price,Tagada Product ID,Tagada Variant ID,Tagada Price ID,Tagada Price,Mapping Status,Notes
"Semaglutide + B6 Injection","Injection · 0.5mg · Vial","MBM-WM-SEM-INJ-001","p1","semaglutide-v1","119.00","product_cfd1a23b5095","variant_4786fced127f","price_59b410d4149c","119.00","MATCHED","Matched by Tagada variant SKU after sync"
"Semaglutide + B6 Injection","Injection · 1mg · Vial","MBM-WM-SEM-INJ-002","p1","semaglutide-v2","139.00","product_cfd1a23b5095","variant_e7e4aa7479b0","price_45e11dcc8f3d","139.00","MATCHED","Matched by Tagada variant SKU after sync"
"Semaglutide + B6 Injection","Injection · 2.5mg · Vial","MBM-WM-SEM-INJ-003","p1","semaglutide-v3","189.02","product_cfd1a23b5095","variant_1578824794e6","price_a6e38799524f","189.02","MATCHED","Matched by Tagada variant SKU after sync"
"Semaglutide + B6 Injection","Injection · 5mg · Vial","MBM-WM-SEM-INJ-004","p1","semaglutide-v4","329.00","product_cfd1a23b5095","variant_0858c18b808e","price_dbc846be2af8","329.00","MATCHED","Matched by Tagada variant SKU after sync"
"Tirzepatide + B6 Injection","Injection · 2.5mg · Vial","MBM-WM-TIR-INJ-001","p5","tirzepatide-v1","189.00","product_e29d94f9fa68","variant_8ed93e38d4bb","price_a638edd7e278","189.00","MATCHED","Matched by Tagada variant SKU after sync"
"Tirzepatide + B6 Injection","Injection · 7.5mg · Vial","MBM-WM-TIR-INJ-002","p5","tirzepatide-v2","258.99","product_e29d94f9fa68","variant_65197b99b7c1","price_025ae1e10e81","258.99","MATCHED","Matched by Tagada variant SKU after sync"
"Tirzepatide + B6 Injection","Injection · 12.5mg · Vial","MBM-WM-TIR-INJ-003","p5","tirzepatide-v3","369.00","product_e29d94f9fa68","variant_c36104e1b53c","price_3c12d8bb293b","369.00","MATCHED","Matched by Tagada variant SKU after sync"
"Tirzepatide + B6 Injection","Injection · 15mg · Vial","MBM-WM-TIR-INJ-004","p5","tirzepatide-v4","429.00","product_e29d94f9fa68","variant_89f15bb9ad30","price_8a73862931ca","429.00","MATCHED","Matched by Tagada variant SKU after sync"
"Fat Burner","Injection · AOD-9604 6mg (1.2mg/mL) / MOTS-C 10mg (2mg/mL) / Tesamorelin 15mg (3mg/mL) · 5mL vial","MBM-WM-FB3-INJ-001","p74","fat-burner-v1","259.00","product_330a4822ca29","variant_ca761e048b82","price_c5811c919cad","259.00","MATCHED","Matched by Tagada variant SKU after sync"
"Estradiol Patch","Patch · 0.025mg twice weekly · 8 patches","MBM-HRT-EST-PAT-001","p16","estradiol-patch-v1","129.00","product_85efa138a720","variant_77a5809b96cc","price_bb2cd434d6cb","129.00","MATCHED","Matched by Tagada variant SKU after sync"
"Estradiol Patch","Patch · 0.05mg twice weekly · 8 patches","MBM-HRT-EST-PAT-002","p16","estradiol-patch-v2","138.98","product_85efa138a720","variant_96a619fecc8b","price_bc07cb8899a4","138.98","MATCHED","Matched by Tagada variant SKU after sync"
"Estradiol Patch","Patch · 0.1mg twice weekly · 8 patches","MBM-HRT-EST-PAT-003","p16","estradiol-patch-v3","149.00","product_85efa138a720","variant_48a704f13621","price_22d08b77e3ac","149.00","MATCHED","Matched by Tagada variant SKU after sync"
"Progesterone Capsules","Capsule · 100mg · 30 capsules","MBM-HRT-PRG-CAP-001","p23","progesterone-capsules-v1","39.00","product_eafa22bb516b","variant_e37d0c490dba","price_a99f863c0fe1","39.00","MATCHED","Matched by Tagada variant SKU after sync"
"Progesterone Capsules","Capsule · 200mg · 30 capsules","MBM-HRT-PRG-CAP-002","p23","progesterone-capsules-v2","59.00","product_eafa22bb516b","variant_bdbc2b9f0ade","price_2e5104ff73e0","59.00","MATCHED","Matched by Tagada variant SKU after sync"
"Testosterone Cream","Cream · 5mg/g · 30g","MBM-HRT-TST-CRM-001","p27","testosterone-cream-v1","79.00","product_d17c0fc61a9d","variant_39c27962b958","price_14296712e379","79.00","MATCHED","Matched by Tagada variant SKU after sync"
"NAD+ Injection","Injection · 100mg/mL · 500mg total · 5mL","MBM-LON-NAD-INJ-001","p9","nad-plus-v1","199.00","product_e017c0328e4f","variant_d2b5be492da2","price_f7e899c11336","199.00","MATCHED","Matched by Tagada variant SKU after sync"
"NAD+ Injection","Injection · 100mg/mL · 1,000mg total · 10mL","MBM-LON-NAD-INJ-002","p9","nad-plus-v2","229.00","product_e017c0328e4f","variant_5085e02375d1","price_94fd558220c1","229.00","MATCHED","Matched by Tagada variant SKU after sync"
"Selank Injection","Injection · 5mg/mL · 2mL","MBM-LON-SEL-INJ-001","p48","selank-v1","129.00","product_2cf8d35d5ca5","variant_35f9129e2cae","price_0519a38f67b0","129.00","MATCHED","Matched by Tagada variant SKU after sync"
"Semax Injection","Injection · 5mg/mL · 2mL","MBM-LON-SMX-INJ-001","p47","semax-v1","129.00","product_bebd3d185d9d","variant_8f66246f1d44","price_6aca1278605b","129.00","MATCHED","Matched by Tagada variant SKU after sync"
"Selank + Semax Blend Nasal Spray","Nasal Spray · 50mcg/50mcg per spray · 10mL","MBM-LON-SSN-NS-001","p68","selank-semax-nasal-spray-v1","169.00","product_19ba577f533d","variant_7fa5cf5aab9c","price_12025a97b268","169.00","MATCHED","Matched by Tagada variant SKU after sync"
"Tesamorelin Injection","Injection · 10mg total · 5mg/mL · 2mL vial","MBM-LON-TESA-INJ-001","p73","tesamorelin-v1","149.00","product_0384bb7932fa","variant_2471d74b381b","price_9e528d04b5f4","149.00","MATCHED","Matched by Tagada variant SKU after sync"
"Wolverine: BPC-157/TB-500","Capsule · Blend · Capsule","MBM-RP-BPC-CAP-001","p41","bpc-157-tb-500-v1","99.00","product_73694d0d8088","variant_5d38654f00fc","price_548c95f3d3bd","99.00","MATCHED","Matched by Tagada variant SKU after sync"
"Wolverine: BPC-157/TB-500","Injection · Blend · Injection","MBM-RP-BPC-INJ-001","p41","bpc-157-tb-500-v2","199.00","product_73694d0d8088","variant_28a362285cd1","price_468c0be65863","199.00","MATCHED","Matched by Tagada variant SKU after sync"
"Tretinoin Cream","Cream · 0.025% · 20g","MBM-SH-TRE-CRM-001","p69","tretinoin-cream-v1","79.00","product_175afd281f90","variant_708bb1c9f5f0","price_c7871c25c2eb","79.00","MATCHED","Matched by Tagada variant SKU after sync"
"Tretinoin Cream","Cream · 0.05% · 20g","MBM-SH-TRE-CRM-002","p69","tretinoin-cream-v2","89.00","product_3649c22667aa","variant_1988ad508047","price_8312c58ec718","89.00","MATCHED","Matched by Tagada variant SKU after sync"
"Tretinoin Cream","Cream · 0.1% · 20g","MBM-SH-TRE-CRM-003","p69","tretinoin-cream-v3","109.00","product_175afd281f90","variant_8f7950e121d1","price_26636d01db04","109.00","MATCHED","Matched by Tagada variant SKU after sync"
"Minoxidil Combination Topical Formula","Topical Solution · Combination formula · Bottle","MBM-SH-MIN-SOL-001","p70","minoxidil-topical-v1","129.00","product_022a589de097","variant_f9e5928143c7","price_98520d872070","129.00","MATCHED","Matched by Tagada variant SKU after sync"
"Bimatoprost Solution","Solution · 0.03% · 2.5mL","MBM-SH-BIM-SOL-001","p71","bimatoprost-solution-v1","89.00","product_c31c3e94d21d","variant_321ade2267a1","price_338fe6049a04","89.00","MATCHED","Matched by Tagada variant SKU after sync"
"Initial Provider Visit","Service · 1 session · Visit","MBM-PC-IPV-SRV-001","pc1","initial-provider-consultation-v1","75.00","product_4d47da6193e4","variant_08bf53e519ce","price_6b59dbc48752","75.00","MATCHED","Matched by Tagada variant SKU after sync"
"Follow-Up Visit","Service · 1 session · Visit","MBM-PC-FUV-SRV-001","pc2","follow-up-appointment-v1","55.00","product_f2a71cc19cc0","variant_106332e60747","price_f67f2f5fefb4","55.00","MATCHED","Matched by Tagada variant SKU after sync"
"Laboratory Review","Service · 1 session · Visit","MBM-PC-LAB-SRV-001","pc3","laboratory-review-v1","55.00","product_e4a9efa99483","variant_2d2333daacd2","price_afdb5c5c92a7","55.00","MATCHED","Matched by Tagada variant SKU after sync"
"Complete Injection Starter Kit","Accessory · Bundle · 1 kit","MBM-ACC-CIS-ACC-001","a1","complete-injection-starter-kit-v1","119.00","product_8b8dd8f3802f","variant_45486ee05687","price_b76426391818","119.00","MATCHED","Matched by Tagada variant SKU after sync"
"Premium 3D Printed Peptide Case","Accessory · Standard · 1 case","MBM-ACC-PPC-ACC-001","a2","premium-3d-printed-peptide-case-v1","34.00","product_ee470f2ce9bc","variant_569b9e1b2e74","price_7cc79c1620ec","34.00","MATCHED","Matched by Tagada variant SKU after sync"
"Temperature-Controlled Travel Case","Accessory · Standard · 1 case","MBM-ACC-TTC-ACC-001","a3","temperature-controlled-travel-case-v1","59.00","product_9a7f00fc9098","variant_c53ac76c9bfa","price_807e06620427","59.00","MATCHED","Matched by Tagada variant SKU after sync"
"Discreet Travel Bag","Accessory · Standard · 1 bag","MBM-ACC-DTB-ACC-001","a4","discreet-travel-bag-v1","39.00","product_6190db2bd0a8","variant_fe0decb81658","price_f541dfe34b36","39.00","MATCHED","Matched by Tagada variant SKU after sync"
"Reusable Ice Pack","Accessory · Standard · 1 pack","MBM-ACC-ICE-ACC-001","a5","reusable-ice-pack-v1","12.00","product_e7570f0548a0","variant_cb4e752ba2e3","price_c3d5167749aa","12.00","MATCHED","Matched by Tagada variant SKU after sync"
"Daily & Weekly Wellness Planner","Accessory · Standard · 1 planner","MBM-ACC-DWP-ACC-001","a6","daily-weekly-wellness-planner-v1","29.00","product_0ca7c935c5ee","variant_ae3738e4218b","price_912c0af40414","29.00","MATCHED","Matched by Tagada variant SKU after sync"
"Sharps Container","Accessory · Standard · 1 container","MBM-ACC-SHP-ACC-001","a7","sharps-container-v1","10.00","product_6304bf7994c9","variant_4c2b3a5c3b2c","price_5b0b6498ab00","10.00","MATCHED","Matched by Tagada variant SKU after sync"
"Alcohol Prep Wipes","Accessory · 200 Count · 1 box","MBM-ACC-APW-ACC-001","a8","alcohol-prep-wipes-v1","9.99","product_1bb831ec462d","variant_6795e334ebee","price_f7231ae47498","9.99","MATCHED","Matched by Tagada variant SKU after sync"
"Alcohol Prep Wipes","Accessory · 500 Count · 1 box","MBM-ACC-APW-ACC-002","a8","alcohol-prep-wipes-v2","18.99","product_1bb831ec462d","variant_70d3e2b18ca8","price_977dd2c534ec","18.99","MATCHED","Matched by Tagada variant SKU after sync"
"Premium Insulin Syringes","Accessory · 10 Pack · 1 pack","MBM-ACC-PIS-ACC-001","a10","premium-insulin-syringes-v1","3.99","product_cabdbdec74c7","variant_2b159acf7906","price_d60a42f3ebbd","3.99","MATCHED","Matched by Tagada variant SKU after sync"
"Premium Insulin Syringes","Accessory · 20 Pack · 1 pack","MBM-ACC-PIS-ACC-002","a10","premium-insulin-syringes-v2","6.99","product_cabdbdec74c7","variant_c7f7483edd1b","price_c0e8aa3ba0b3","6.99","MATCHED","Matched by Tagada variant SKU after sync"
"Premium Insulin Syringes","Accessory · 30 Pack · 1 pack","MBM-ACC-PIS-ACC-003","a10","premium-insulin-syringes-v3","9.49","product_cabdbdec74c7","variant_4c250a7df52c","price_aceeb6f40768","9.49","MATCHED","Matched by Tagada variant SKU after sync"
"Premium Insulin Syringes","Accessory · 40 Pack · 1 pack","MBM-ACC-PIS-ACC-004","a10","premium-insulin-syringes-v4","11.99","product_cabdbdec74c7","variant_99d1ccedc16d","price_e2901d4dfc5b","11.99","MATCHED","Matched by Tagada variant SKU after sync"
"Premium Insulin Syringes","Accessory · 50 Pack · 1 pack","MBM-ACC-PIS-ACC-005","a10","premium-insulin-syringes-v5","14.49","product_cabdbdec74c7","variant_43f9b283d699","price_6092564ab98f","14.49","MATCHED","Matched by Tagada variant SKU after sync"
"Premium Insulin Syringes","Accessory · 60 Pack · 1 pack","MBM-ACC-PIS-ACC-006","a10","premium-insulin-syringes-v6","16.99","product_cabdbdec74c7","variant_8502d80d45e7","price_d8ffd5db3c85","16.99","MATCHED","Matched by Tagada variant SKU after sync"
"Premium Insulin Syringes","Accessory · 70 Pack · 1 pack","MBM-ACC-PIS-ACC-007","a10","premium-insulin-syringes-v7","19.49","product_cabdbdec74c7","variant_6cbe1ef35a37","price_09776237b3a6","19.49","MATCHED","Matched by Tagada variant SKU after sync"
"Premium Insulin Syringes","Accessory · 80 Pack · 1 pack","MBM-ACC-PIS-ACC-008","a10","premium-insulin-syringes-v8","21.99","product_cabdbdec74c7","variant_16ae949928a7","price_19273bc654db","21.99","MATCHED","Matched by Tagada variant SKU after sync"
"Premium Insulin Syringes","Accessory · 90 Pack · 1 pack","MBM-ACC-PIS-ACC-009","a10","premium-insulin-syringes-v9","24.49","product_cabdbdec74c7","variant_c87e576e05b8","price_cef18e997108","24.49","MATCHED","Matched by Tagada variant SKU after sync"
"Premium Insulin Syringes","Accessory · 100 Pack · 1 pack","MBM-ACC-PIS-ACC-010","a10","premium-insulin-syringes-v10","26.99","product_cabdbdec74c7","variant_9a38f195576f","price_eab425d1bf34","26.99","MATCHED","Matched by Tagada variant SKU after sync"
"Semaglutide Membership","Membership program (monthly)","MBM-MEM-SEM-MEM-001","m1","m1","149.00","product_e5fe772b62d6","variant_6973906c4bd6","price_344d3dacb4ab","149.00","MATCHED","Membership PROGRAM SKU. Tagada recurring=true interval=month. No customer subscription created."
"Tirzepatide Membership","Membership program (monthly)","MBM-MEM-TIR-MEM-001","m2","m2","249.00","product_8b3bfb6614c4","variant_b3890c799e09","price_5cf1fa89610c","249.00","MATCHED","Membership PROGRAM SKU. Tagada recurring=true interval=month. No customer subscription created."
