mbm_sku,classification,product_name,seed_variant,live_variant,stale,seed_init_ok,live_init_ok,seed_error
MBM-WM-SEM-INJ-001,PASS,"Semaglutide + B6 Injection",variant_4786fced127f,variant_4786fced127f,False,True,True,""
MBM-WM-SEM-INJ-002,PASS,"Semaglutide + B6 Injection",variant_e7e4aa7479b0,variant_e7e4aa7479b0,False,True,True,""
MBM-WM-SEM-INJ-003,PASS,"Semaglutide + B6 Injection",variant_1578824794e6,variant_1578824794e6,False,True,True,""
MBM-WM-SEM-INJ-004,PASS,"Semaglutide + B6 Injection",variant_0858c18b808e,variant_0858c18b808e,False,True,True,""
MBM-WM-TIR-INJ-001,PASS,"Tirzepatide + B6 Injection",variant_8ed93e38d4bb,variant_8ed93e38d4bb,False,True,True,""
MBM-WM-TIR-INJ-002,PASS,"Tirzepatide + B6 Injection",variant_65197b99b7c1,variant_65197b99b7c1,False,True,True,""
MBM-WM-TIR-INJ-003,PASS,"Tirzepatide + B6 Injection",variant_c36104e1b53c,variant_c36104e1b53c,False,True,True,""
MBM-WM-TIR-INJ-004,PASS,"Tirzepatide + B6 Injection",variant_89f15bb9ad30,variant_89f15bb9ad30,False,True,True,""
MBM-WM-FB3-INJ-001,INIT_FAIL,"Fat Burner",variant_ca761e048b82,variant_2c53926ab625,True,False,True,"{\"data\":\"Failed to get checkout URL from session\";\"name\":\"Error\";\"message\":\"Fail"
MBM-HRT-EST-PAT-001,PASS,"Estradiol Patch",variant_77a5809b96cc,variant_77a5809b96cc,False,True,True,""
MBM-HRT-EST-PAT-002,PASS,"Estradiol Patch",variant_96a619fecc8b,variant_96a619fecc8b,False,True,True,""
MBM-HRT-EST-PAT-003,PASS,"Estradiol Patch",variant_48a704f13621,variant_48a704f13621,False,True,True,""
MBM-HRT-PRG-CAP-001,PASS,"Progesterone Capsules",variant_e37d0c490dba,variant_e37d0c490dba,False,True,True,""
MBM-HRT-PRG-CAP-002,PASS,"Progesterone Capsules",variant_bdbc2b9f0ade,variant_bdbc2b9f0ade,False,True,True,""
MBM-HRT-TST-CRM-001,PASS,"Testosterone Cream",variant_39c27962b958,variant_39c27962b958,False,True,True,""
MBM-LON-NAD-INJ-001,PASS,"NAD+ Injection",variant_d2b5be492da2,variant_d2b5be492da2,False,True,True,""
MBM-LON-NAD-INJ-002,PASS,"NAD+ Injection",variant_5085e02375d1,variant_5085e02375d1,False,True,True,""
MBM-LON-SEL-INJ-001,PASS,"Selank Injection",variant_35f9129e2cae,variant_35f9129e2cae,False,True,True,""
MBM-LON-SMX-INJ-001,PASS,"Semax Injection",variant_8f66246f1d44,variant_8f66246f1d44,False,True,True,""
MBM-LON-SSN-NS-001,PASS,"Selank + Semax Blend Nasal Spray",variant_7fa5cf5aab9c,variant_7fa5cf5aab9c,False,True,True,""
MBM-LON-TESA-INJ-001,PASS,"Tesamorelin Injection",variant_2471d74b381b,variant_2471d74b381b,False,True,True,""
MBM-RP-BPC-CAP-001,PASS,"Wolverine: BPC-157/TB-500",variant_5d38654f00fc,variant_5d38654f00fc,False,True,True,""
MBM-RP-BPC-INJ-001,PASS,"Wolverine: BPC-157/TB-500",variant_28a362285cd1,variant_28a362285cd1,False,True,True,""
MBM-SH-TRE-CRM-001,PASS,"Tretinoin Cream",variant_708bb1c9f5f0,variant_708bb1c9f5f0,False,True,True,""
MBM-SH-TRE-CRM-002,PASS,"Tretinoin Cream \u2014 Cream \u00b7 0.05% \u00b7 20g",variant_1988ad508047,variant_1988ad508047,False,True,True,""
MBM-SH-TRE-CRM-003,PASS,"Tretinoin Cream",variant_8f7950e121d1,variant_8f7950e121d1,False,True,True,""
MBM-SH-MIN-SOL-001,PASS,"Minoxidil Combination Topical Formula",variant_f9e5928143c7,variant_f9e5928143c7,False,True,True,""
